key,original,translate,needCheck
stats/desecrated/desecrated.stat_2077117738/Notable Passive Skills in Radius also grant #% increased Critical Hit Chance,Notable Passive Skills in Radius also grant #% increased Critical Hit Chance,範圍內核心天賦也會賦予 增加#%暴擊率,
stats/desecrated/desecrated.stat_2083058281/Enemies you Mark take #% increased Damage,Enemies you Mark take #% increased Damage,增加#%被你施加印記的敵人受到的傷害,
stats/desecrated/desecrated.stat_210067635/#% increased Attack Speed (Local),#% increased Attack Speed (Local),增加#%攻擊速度 (部分),
stats/desecrated/desecrated.stat_2103650854/#% increased effect of Arcane Surge on you,#% increased effect of Arcane Surge on you,增加#%你身上的秘能波動效果,
stats/desecrated/desecrated.stat_2106365538/#% increased Evasion Rating,#% increased Evasion Rating,增加#%閃避值,
stats/desecrated/desecrated.stat_21071013/Herald Skills deal #% increased Damage,Herald Skills deal #% increased Damage,增加#%捷光環技能造成的傷害,
stats/desecrated/desecrated.stat_2107703111/Small Passive Skills in Radius also grant Offerings have #% increased Maximum Life,Small Passive Skills in Radius also grant Offerings have #% increased Maximum Life,範圍內小型天賦也會賦予 奉獻增加#%最大生命,
stats/desecrated/desecrated.stat_2108821127/Small Passive Skills in Radius also grant #% increased Totem Damage,Small Passive Skills in Radius also grant #% increased Totem Damage,範圍內小型天賦也會賦予 增加#%圖騰傷害,
stats/desecrated/desecrated.stat_2112395885/#% increased amount of Life Leeched,#% increased amount of Life Leeched,增加#%生命偷取量,
stats/desecrated/desecrated.stat_2116424886/#% increased Life Regeneration Rate while moving,#% increased Life Regeneration Rate while moving,移動時增加#%的生命回復率,
stats/desecrated/desecrated.stat_211727/Monsters deal #% of Damage as Extra Cold,Monsters deal #% of Damage as Extra Cold,怪物造成等同於傷害#%的額外冰冷傷害,
stats/desecrated/desecrated.stat_2118708619/#% increased Damage if you have Consumed a Corpse Recently,#% increased Damage if you have Consumed a Corpse Recently,若你近期消耗過屍體，增加#%傷害,
stats/desecrated/desecrated.stat_2122183138/# Mana gained when you Block,# Mana gained when you Block,你格擋時獲得#魔力,
stats/desecrated/desecrated.stat_212649958/Enemies Hindered by you take #% increased Elemental Damage,Enemies Hindered by you take #% increased Elemental Damage,增加#%你施加阻礙的敵人承受的元素傷害,
stats/desecrated/desecrated.stat_2131720304/Notable Passive Skills in Radius also grant Gain # Rage when Hit by an Enemy,Notable Passive Skills in Radius also grant Gain # Rage when Hit by an Enemy,範圍內核心天賦也會賦予 遭敵人擊中時，獲得#層盛怒,
stats/desecrated/desecrated.stat_2135541924/Notable Passive Skills in Radius also grant Hits have #% increased Critical Hit Chance against you,Notable Passive Skills in Radius also grant Hits have #% increased Critical Hit Chance against you,範圍內核心天賦也會賦予 對你的擊中增加#%暴擊率,
stats/desecrated/desecrated.stat_2144192055/# to Evasion Rating,# to Evasion Rating,#閃避值,
stats/desecrated/desecrated.stat_2149603090/Notable Passive Skills in Radius also grant #% increased Cooldown Recovery Rate,Notable Passive Skills in Radius also grant #% increased Cooldown Recovery Rate,範圍內核心天賦也會賦予 增加#%冷卻時間恢復率,
stats/desecrated/desecrated.stat_2150661403/Skills have #% chance to not remove Elemental Infusions but still count as consuming them if you've lost an Archon Buff in the past 6 seconds,Skills have #% chance to not remove Elemental Infusions but still count as consuming them if you've lost an Archon Buff in the past 6 seconds,若你在過去6秒內失去過統治者增益效果，技能有#%機率不移除元素灌注但仍視為消耗了元素灌注,
stats/desecrated/desecrated.stat_2158617060/#% increased Archon Buff duration,#% increased Archon Buff duration,增加#%統治者持續時間,
stats/desecrated/desecrated.stat_2160282525/#% reduced Freeze Duration on you,#% reduced Freeze Duration on you,減少#%你身上的冰凍持續時間,
stats/desecrated/desecrated.stat_2162097452/# to Level of all Minion Skills,# to Level of all Minion Skills,全部召喚物技能等級#,
stats/desecrated/desecrated.stat_2174054121/#% chance to inflict Bleeding on Hit,#% chance to inflict Bleeding on Hit,擊中時有#%機率造成流血,
stats/desecrated/desecrated.stat_2194114101/#% increased Critical Hit Chance for Attacks,#% increased Critical Hit Chance for Attacks,增加#%攻擊暴擊率,
stats/desecrated/desecrated.stat_2200293569/Mana Flasks gain # charges per Second,Mana Flasks gain # charges per Second,魔力藥劑每秒獲得#充能,
stats/desecrated/desecrated.stat_2200661314/Monsters deal #% of Damage as Extra Chaos,Monsters deal #% of Damage as Extra Chaos,怪物造成等同於傷害#%的額外混沌傷害,
stats/desecrated/desecrated.stat_2202308025/Small Passive Skills in Radius also grant Mark Skills have #% increased Use Speed,Small Passive Skills in Radius also grant Mark Skills have #% increased Use Speed,範圍內小型天賦也會賦予 增加#%印記技能的施放速度,
stats/desecrated/desecrated.stat_221701169/Notable Passive Skills in Radius also grant #% increased Poison Duration,Notable Passive Skills in Radius also grant #% increased Poison Duration,範圍內核心天賦也會賦予 增加#%中毒持續時間,
stats/desecrated/desecrated.stat_2222186378/#% increased Mana Recovery from Flasks,#% increased Mana Recovery from Flasks,增加#%藥劑的魔力恢復,
stats/desecrated/desecrated.stat_2223678961/Adds # to # Chaos damage,Adds # to # Chaos damage,附加#至#混沌傷害,
stats/desecrated/desecrated.stat_2231156303/#% increased Lightning Damage,#% increased Lightning Damage,增加#%閃電傷害,
stats/desecrated/desecrated.stat_2250533757/#% increased Movement Speed,#% increased Movement Speed,增加#%移動速度,
stats/desecrated/desecrated.stat_2250681686/Grenade Skills have +# Cooldown Use,Grenade Skills have +# Cooldown Use,擲彈技能有+#次冷卻使用次數,
stats/desecrated/desecrated.stat_2254480358/# to Level of all Cold Spell Skills,# to Level of all Cold Spell Skills,全部冰冷法術技能等級#,
stats/desecrated/desecrated.stat_2256120736/Notable Passive Skills in Radius also grant Debuffs on you expire #% faster,Notable Passive Skills in Radius also grant Debuffs on you expire #% faster,範圍內核心天賦也會賦予 你身上的減益效果加快#%失效,
stats/desecrated/desecrated.stat_2272980012/Notable Passive Skills in Radius also grant #% increased Duration of Damaging Ailments on Enemies,Notable Passive Skills in Radius also grant #% increased Duration of Damaging Ailments on Enemies,範圍內核心天賦也會賦予 增加#%敵人身上的傷害型異常狀態持續時間,
stats/desecrated/desecrated.stat_2278777540/Abysses lead to an Abyssal Depths,Abysses lead to an Abyssal Depths,深淵能通往絕望深淵,
stats/desecrated/desecrated.stat_2300185227/# to Dexterity and Intelligence,# to Dexterity and Intelligence,#點敏捷與智慧,
stats/desecrated/desecrated.stat_2301718443/#% increased Damage against Enemies with Fully Broken Armour,#% increased Damage against Enemies with Fully Broken Armour,增加#%對完全破甲敵人造成的傷害,
stats/desecrated/desecrated.stat_2306522833/#% increased Monster Movement Speed,#% increased Monster Movement Speed,增加#%怪物移動速度,
stats/desecrated/desecrated.stat_231689132/#% increased Explicit Elemental Damage Modifier magnitudes,#% increased Explicit Elemental Damage Modifier magnitudes,增加#%變動元素傷害詞綴的大小,
stats/desecrated/desecrated.stat_2320654813/Notable Passive Skills in Radius also grant #% increased Charm Charges gained,Notable Passive Skills in Radius also grant #% increased Charm Charges gained,範圍內核心天賦也會賦予 增加#%護符充能獲取,
stats/desecrated/desecrated.stat_2321178454/#% chance to Pierce an Enemy,#% chance to Pierce an Enemy,有#%機率穿透一個敵人,
stats/desecrated/desecrated.stat_232701452/#% increased Freeze Buildup if you've consumed an Power Charge Recently,#% increased Freeze Buildup if you've consumed an Power Charge Recently,若你近期有消耗一顆暴擊球，增加#%冰凍累積,
stats/desecrated/desecrated.stat_2334956771/Notable Passive Skills in Radius also grant Projectiles have #% chance to Chain an additional time from terrain,Notable Passive Skills in Radius also grant Projectiles have #% chance to Chain an additional time from terrain,範圍內核心天賦也會賦予 投射物有#%機率從地形額外連鎖一次,
stats/desecrated/desecrated.stat_2337295272/Minions deal #% increased Damage if you've Hit Recently,Minions deal #% increased Damage if you've Hit Recently,若你近期有被擊中，增加#%召喚物造成的傷害,
stats/desecrated/desecrated.stat_2339757871/#% increased Energy Shield Recharge Rate,#% increased Energy Shield Recharge Rate,增加#%能量護盾充能率,
stats/desecrated/desecrated.stat_234296660/Companions deal #% increased Damage,Companions deal #% increased Damage,增加#%盟友造成的傷害,
stats/desecrated/desecrated.stat_2347036682/Allies in your Presence deal # to # added Attack Cold Damage,Allies in your Presence deal # to # added Attack Cold Damage,處於你存在範圍中的友方造成#至#額外攻擊冰冷傷害,
stats/desecrated/desecrated.stat_2353576063/#% increased Curse Magnitudes,#% increased Curse Magnitudes,增加#%詛咒幅度,
stats/desecrated/desecrated.stat_2359002191/Notable Passive Skills in Radius also grant #% increased Critical Damage Bonus,Notable Passive Skills in Radius also grant #% increased Critical Damage Bonus,範圍內核心天賦也會賦予 增加#%暴擊傷害加成,
stats/desecrated/desecrated.stat_2363593824/#% increased speed of Recoup Effects,#% increased speed of Recoup Effects,增加#%補償效果速度,
stats/desecrated/desecrated.stat_2374711847/Notable Passive Skills in Radius also grant Offering Skills have #% increased Duration,Notable Passive Skills in Radius also grant Offering Skills have #% increased Duration,範圍內核心天賦也會賦予 奉獻技能增加#%持續時間,
stats/desecrated/desecrated.stat_2387539034/Attacks with this Weapon Penetrate #% Lightning Resistance,Attacks with this Weapon Penetrate #% Lightning Resistance,此武器的攻擊穿透#%的閃電抗性,
stats/desecrated/desecrated.stat_2392824305/Notable Passive Skills in Radius also grant #% increased Stun Buildup with Maces,Notable Passive Skills in Radius also grant #% increased Stun Buildup with Maces,範圍內核心天賦也會賦予 使用錘時，增加#%暈眩累積,
stats/desecrated/desecrated.stat_2393315299/#% increased Explicit Critical Modifier magnitudes,#% increased Explicit Critical Modifier magnitudes,增加#%變動暴擊詞綴的大小,
stats/desecrated/desecrated.stat_239367161/#% increased Stun Buildup,#% increased Stun Buildup,增加#%暈眩累積,
stats/desecrated/desecrated.stat_2399592398/Abysses lead to an Abyssal Boss,Abysses lead to an Abyssal Boss,深淵能通往一名深淵頭目,
stats/desecrated/desecrated.stat_240445958/Area contains # additional packs of Undead,Area contains # additional packs of Undead,區域含有額外#群亡靈,
stats/desecrated/desecrated.stat_2408625104/Players and their Minions deal no damage for 3 out of every 10 seconds,Players and their Minions deal no damage for 3 out of every 10 seconds,每10秒玩家和其召喚物有3秒無法造成傷害,
stats/desecrated/desecrated.stat_2416650879/#% increased Rage Cost Efficiency,#% increased Rage Cost Efficiency,增加#%盛怒消耗效率,
stats/desecrated/desecrated.stat_2421151933/Small Passive Skills in Radius also grant #% increased Melee Damage if you've dealt a Projectile Attack Hit in the past eight seconds,Small Passive Skills in Radius also grant #% increased Melee Damage if you've dealt a Projectile Attack Hit in the past eight seconds,範圍內小型天賦也會賦予 如果你在過去8秒內以投射物攻擊擊中，增加#%近戰傷害,
stats/desecrated/desecrated.stat_242637938/#% increased chance to inflict Bleeding,#% increased chance to inflict Bleeding,增加#%造成流血的機率,
stats/desecrated/desecrated.stat_243380454/# additional Rare Monsters are spawned from Abysses,# additional Rare Monsters are spawned from Abysses,深淵生成#隻額外稀有怪物,
stats/desecrated/desecrated.stat_243380454/# additional Rare Monsters are spawned from Abysses in Map,# additional Rare Monsters are spawned from Abysses in Map,地圖內的深淵生成#隻額外稀有怪物,
stats/desecrated/desecrated.stat_2440073079/#% increased Damage while Shapeshifted,#% increased Damage while Shapeshifted,變形期間增加#%傷害,
stats/desecrated/desecrated.stat_2442527254/Small Passive Skills in Radius also grant #% increased Cold Damage,Small Passive Skills in Radius also grant #% increased Cold Damage,範圍內小型天賦也會賦予 增加#%冰冷傷害,
stats/desecrated/desecrated.stat_2451402625/#% increased Armour and Evasion,#% increased Armour and Evasion,增加#%護甲值和閃避,
stats/desecrated/desecrated.stat_2456523742/#% increased Critical Damage Bonus with Spears,#% increased Critical Damage Bonus with Spears,增加#%使用長矛時暴擊傷害加成,
stats/desecrated/desecrated.stat_2463230181/#% Surpassing chance to fire an additional Arrow,#% Surpassing chance to fire an additional Arrow,#%滿溢機率發射額外一枚箭矢,
stats/desecrated/desecrated.stat_2466011626/#% chance for Lightning Damage with Hits to be Lucky,#% chance for Lightning Damage with Hits to be Lucky,擊中造成的閃電傷害有#%機率為幸運,
stats/desecrated/desecrated.stat_2466785537/Notable Passive Skills in Radius also grant #% increased Critical Spell Damage Bonus,Notable Passive Skills in Radius also grant #% increased Critical Spell Damage Bonus,範圍內核心天賦也會賦予 增加#%法術暴擊傷害加成,
stats/desecrated/desecrated.stat_2468595624/Projectiles deal #% increased Damage with Hits against Enemies within 2m,Projectiles deal #% increased Damage with Hits against Enemies within 2m,增加#%投射物對距離2公尺內的敵人造成的擊中傷害,
stats/desecrated/desecrated.stat_2474424958/Spell Skills have # to maximum number of Summoned Totems,Spell Skills have # to maximum number of Summoned Totems,法術技能#召喚圖騰的最大數量,
stats/desecrated/desecrated.stat_2475870935/Conquered Small Passive Skills also grant #% increased Stun Threshold,Conquered Small Passive Skills also grant #% increased Stun Threshold,被征服的小型天賦也會賦予增加#%暈眩門檻,
stats/desecrated/desecrated.stat_2479683456/Minions Regenerate #% of maximum Life per second,Minions Regenerate #% of maximum Life per second,召喚物每秒回復#%最大生命,
stats/desecrated/desecrated.stat_2480498143/#% of Skill Mana Costs Converted to Life Costs,#% of Skill Mana Costs Converted to Life Costs,#%技能魔力消耗轉換為生命消耗,
stats/desecrated/desecrated.stat_2481353198/#% increased Block chance (Local),#% increased Block chance (Local),增加#%格擋率 (部分),
stats/desecrated/desecrated.stat_2482852589/#% increased maximum Energy Shield,#% increased maximum Energy Shield,增加#%最大能量護盾,
stats/desecrated/desecrated.stat_2487305362/#% increased Magnitude of Poison you inflict,#% increased Magnitude of Poison you inflict,增加#%你所施加之中毒的幅度,
stats/desecrated/desecrated.stat_2488361432/#% increased Monster Cast Speed,#% increased Monster Cast Speed,增加#%怪物施放速度,
stats/desecrated/desecrated.stat_2505884597/Gain #% of Damage as Extra Cold Damage,Gain #% of Damage as Extra Cold Damage,獲得等同於傷害#%的額外冰冷傷害,
stats/desecrated/desecrated.stat_2506820610/Monsters have #% chance to inflict Bleeding on Hit,Monsters have #% chance to inflict Bleeding on Hit,怪物有#%機率在擊中時引起流血,
stats/desecrated/desecrated.stat_2508044078/Monsters inflict #% increased Flammability Magnitude,Monsters inflict #% increased Flammability Magnitude,增加#%怪物造成的易燃幅度,
stats/desecrated/desecrated.stat_2518900926/#% increased Damage with Plant Skills,#% increased Damage with Plant Skills,植物技能增加#%傷害,
"stats/desecrated/desecrated.stat_2523933828/#% increased Armour, Evasion and Energy Shield from Equipped Shield","#% increased Armour, Evasion and Energy Shield from Equipped Shield",增加#%來自裝備盾牌的護甲、閃避與能量護盾,
stats/desecrated/desecrated.stat_2527686725/#% increased Magnitude of Shock you inflict,#% increased Magnitude of Shock you inflict,增加#%你所施加之感電的幅度,
stats/desecrated/desecrated.stat_2534359663/Notable Passive Skills in Radius also grant Minions have #% increased Area of Effect,Notable Passive Skills in Radius also grant Minions have #% increased Area of Effect,範圍內核心天賦也會賦予 增加#%召喚物的範圍效果,
stats/desecrated/desecrated.stat_253641217/Notable Passive Skills in Radius also grant #% increased Ignite Magnitude,Notable Passive Skills in Radius also grant #% increased Ignite Magnitude,範圍內核心天賦也會賦予 增加#%點燃幅度,
stats/desecrated/desecrated.stat_2539290279/Monsters are Armoured,Monsters are Armoured,怪物為裝甲的,
stats/desecrated/desecrated.stat_2543331226/#% increased Damage while you have a Totem,#% increased Damage while you have a Totem,當你有一個圖騰，增加#%傷害,
stats/desecrated/desecrated.stat_2544540062/Skills which create Fissures have a #% chance to create an additional Fissure,Skills which create Fissures have a #% chance to create an additional Fissure,創造裂縫的技能有#%機率創造額外一道裂縫,
stats/desecrated/desecrated.stat_2549889921/Players gain #% reduced Flask Charges,Players gain #% reduced Flask Charges,減少#%玩家獲得的藥劑充能,
stats/desecrated/desecrated.stat_2550456553/Rare Monsters have # additional Modifier,Rare Monsters have # additional Modifier,稀有怪物有#個額外詞綴,
stats/desecrated/desecrated.stat_2552484522/Conquered Attribute Passive Skills also grant # to all Attributes,Conquered Attribute Passive Skills also grant # to all Attributes,被征服的能力值天賦也會賦予#全部能力值,
stats/desecrated/desecrated.stat_2557965901/Leech #% of Physical Attack Damage as Life,Leech #% of Physical Attack Damage as Life,以#%物理攻擊傷害偷取生命,
stats/desecrated/desecrated.stat_255840549/Small Passive Skills in Radius also grant #% increased Hazard Damage,Small Passive Skills in Radius also grant #% increased Hazard Damage,範圍內小型天賦也會賦予 增加#%危險的傷害,
stats/desecrated/desecrated.stat_2567751411/Warcry Skills have #% increased Area of Effect,Warcry Skills have #% increased Area of Effect,戰吼技能增加#%範圍效果,
stats/desecrated/desecrated.stat_2570249991/Monsters are Evasive,Monsters are Evasive,怪物為閃避的,
stats/desecrated/desecrated.stat_2573406169/Projectiles have #% increased Critical Damage Bonus against Enemies within 2m,Projectiles have #% increased Critical Damage Bonus against Enemies within 2m,增加#%投射物對2公尺內敵人的暴擊傷害加成,
stats/desecrated/desecrated.stat_2580617872/Notable Passive Skills in Radius also grant #% increased Slowing Potency of Debuffs on You,Notable Passive Skills in Radius also grant #% increased Slowing Potency of Debuffs on You,範圍內核心天賦也會賦予 增加#%你身上的減益效果緩速程度,
stats/desecrated/desecrated.stat_258119672/# metre to Dodge Roll distance,# metre to Dodge Roll distance,閃避翻滾距離#公尺,
stats/desecrated/desecrated.stat_2586152168/Archon recovery period expires #% faster,Archon recovery period expires #% faster,統治者增益效果恢復期加快#%,
stats/desecrated/desecrated.stat_2589572664/Notable Passive Skills in Radius also grant #% increased maximum Mana,Notable Passive Skills in Radius also grant #% increased maximum Mana,範圍內核心天賦也會賦予 增加#%最大魔力,
stats/desecrated/desecrated.stat_2590797182/#% increased Movement Speed Penalty from using Skills while moving,#% increased Movement Speed Penalty from using Skills while moving,增加#%在移動時使用技能的移動速度懲罰,
stats/desecrated/desecrated.stat_2594634307/Mark Skills have #% increased Skill Effect Duration,Mark Skills have #% increased Skill Effect Duration,印記技能增加#%技能效果持續時間,
stats/desecrated/desecrated.stat_2601021356/Conquered Small Passive Skills also grant #% increased Chaos damage,Conquered Small Passive Skills also grant #% increased Chaos damage,被征服的小型天賦也會賦予增加#%混沌傷害,
stats/desecrated/desecrated.stat_2604619892/#% increased Duration of Elemental Ailments on Enemies,#% increased Duration of Elemental Ailments on Enemies,增加#%敵人身上的元素異常狀態持續時間,
stats/desecrated/desecrated.stat_2610562860/Small Passive Skills in Radius also grant #% chance to Blind Enemies on Hit with Attacks,Small Passive Skills in Radius also grant #% chance to Blind Enemies on Hit with Attacks,範圍內小型天賦也會賦予 攻擊擊中有#%機率致盲敵人,
stats/desecrated/desecrated.stat_262946222/Allies in your Presence deal # to # added Attack Chaos Damage,Allies in your Presence deal # to # added Attack Chaos Damage,處於你存在範圍中的友方造成#至#附加攻擊混沌傷害,
stats/desecrated/desecrated.stat_263495202/#% increased Cost Efficiency,#% increased Cost Efficiency,增加#%消耗效率,
stats/desecrated/desecrated.stat_2637470878/#% increased Armour Break Duration,#% increased Armour Break Duration,增加#%護甲破壞持續時間,
stats/desecrated/desecrated.stat_2638756573/Small Passive Skills in Radius also grant Companions have #% increased maximum Life,Small Passive Skills in Radius also grant Companions have #% increased maximum Life,範圍內小型天賦也會賦予 增加#%盟友的最大生命,
stats/desecrated/desecrated.stat_2639966148/Minions Revive #% faster,Minions Revive #% faster,召喚物的復甦速度加快#%,
stats/desecrated/desecrated.stat_2653231923/#% increased Mana Cost Efficiency of Spells,#% increased Mana Cost Efficiency of Spells,增加#%法術的魔力消耗效率,
stats/desecrated/desecrated.stat_2653955271/Damage Penetrates #% Fire Resistance,Damage Penetrates #% Fire Resistance,傷害穿透#%火焰抗性,
stats/desecrated/desecrated.stat_2663359259/#% increased total Power counted by Warcries,#% increased total Power counted by Warcries,增加#%戰吼計算的總強度,
stats/desecrated/desecrated.stat_266564538/Small Passive Skills in Radius also grant #% increased Damage while Shapeshifted,Small Passive Skills in Radius also grant #% increased Damage while Shapeshifted,範圍內小型天賦也會賦予 變形期間增加#%傷害,
stats/desecrated/desecrated.stat_2690740379/Small Passive Skills in Radius also grant Banner Skills have #% increased Duration,Small Passive Skills in Radius also grant Banner Skills have #% increased Duration,範圍內小型天賦也會賦予 旗幟技能增加#%持續時間,
stats/desecrated/desecrated.stat_2694482655/#% to Critical Damage Bonus,#% to Critical Damage Bonus,#%的暴擊傷害加成,
stats/desecrated/desecrated.stat_2696027455/#% increased Damage with Spears,#% increased Damage with Spears,增加#%長矛傷害,
stats/desecrated/desecrated.stat_2704225257/# to Spirit,# to Spirit,#精魂,
stats/desecrated/desecrated.stat_2704905000/Notable Passive Skills in Radius also grant #% increased Critical Hit Chance for Spells,Notable Passive Skills in Radius also grant #% increased Critical Hit Chance for Spells,範圍內核心天賦也會賦予 增加#%法術暴擊率,
stats/desecrated/desecrated.stat_2705185939/#% chance to Aggravate Bleeding on targets you Hit with Attacks,#% chance to Aggravate Bleeding on targets you Hit with Attacks,你的攻擊擊中時，有#%機率加劇目標身上的流血,
stats/desecrated/desecrated.stat_2706625504/Projectiles have #% increased Critical Hit Chance against Enemies further than 6m,Projectiles have #% increased Critical Hit Chance against Enemies further than 6m,增加#%投射物對距離超過6公尺的敵人暴擊機率,
stats/desecrated/desecrated.stat_2709367754/Gain # Rage on Melee Hit,Gain # Rage on Melee Hit,近戰擊中時，獲得#層盛怒,
stats/desecrated/desecrated.stat_2709646369/Notable Passive Skills in Radius also grant #% of Damage is taken from Mana before Life,Notable Passive Skills in Radius also grant #% of Damage is taken from Mana before Life,範圍內核心天賦也會賦予 生命值所受的#%傷害由魔力扣除,
stats/desecrated/desecrated.stat_2715190555/#% to Thorns Critical Hit Chance,#% to Thorns Critical Hit Chance,#%荊棘的暴擊率,
stats/desecrated/desecrated.stat_2720982137/Banner Skills have #% increased Duration,Banner Skills have #% increased Duration,旗幟技能增加#%持續時間,
stats/desecrated/desecrated.stat_2725205297/#% increased Magnitude of Unholy Might buffs you grant,#% increased Magnitude of Unholy Might buffs you grant,增加#%你所賦予的不潔之力增益效果幅度,
stats/desecrated/desecrated.stat_2726713579/Notable Passive Skills in Radius also grant Recover #% of maximum Life on Kill,Notable Passive Skills in Radius also grant Recover #% of maximum Life on Kill,範圍內核心天賦也會賦予 擊殺時恢復#%生命,
stats/desecrated/desecrated.stat_2741291867/Area is overrun by the Abyssal,Area is overrun by the Abyssal,此區域被深淵佔據,
stats/desecrated/desecrated.stat_2741291867/Map is overrun by the Abyssal,Map is overrun by the Abyssal,區域被深淵佔據,
stats/desecrated/desecrated.stat_274716455/#% increased Critical Spell Damage Bonus,#% increased Critical Spell Damage Bonus,增加#%法術暴擊傷害加成,
stats/desecrated/desecrated.stat_2748665614/#% increased maximum Mana,#% increased maximum Mana,增加#%最大魔力,
stats/desecrated/desecrated.stat_2749595652/#% chance for Skills to retain 40% of Glory on use,#% chance for Skills to retain 40% of Glory on use,技能有#%機率在使用後保持40%的榮耀,
stats/desecrated/desecrated.stat_2753083623/Monsters have #% increased Critical Hit Chance,Monsters have #% increased Critical Hit Chance,增加#%怪物的暴擊率,
stats/desecrated/desecrated.stat_2760344900/#% chance when you Reload a Crossbow to be immediate,#% chance when you Reload a Crossbow to be immediate,你的十字弓有#%機率立即裝填,
stats/desecrated/desecrated.stat_2768835289/#% increased Spell Physical Damage,#% increased Spell Physical Damage,增加#%法術物理傷害,
stats/desecrated/desecrated.stat_2768899959/Small Passive Skills in Radius also grant #% increased Lightning Damage,Small Passive Skills in Radius also grant #% increased Lightning Damage,範圍內小型天賦也會賦予 增加#%閃電傷害,
stats/desecrated/desecrated.stat_2770044702/Notable Passive Skills in Radius also grant #% increased Curse Magnitudes,Notable Passive Skills in Radius also grant #% increased Curse Magnitudes,範圍內核心天賦也會賦予 增加#%詛咒幅度,
stats/desecrated/desecrated.stat_2780670304/Conquered Small Passive Skills also grant #% increased Energy Shield,Conquered Small Passive Skills also grant #% increased Energy Shield,被征服的小型天賦也會賦予增加#%能量護盾,
"stats/desecrated/desecrated.stat_2783157569/Notable Passive Skills in Radius also grant #% increased Global Armour, Evasion and Energy Shield","Notable Passive Skills in Radius also grant #% increased Global Armour, Evasion and Energy Shield",範圍內核心天賦也會賦予 增加#%全域護甲、閃避、和能量護盾,
stats/desecrated/desecrated.stat_2797971005/Gain # Life per Enemy Hit with Attacks,Gain # Life per Enemy Hit with Attacks,攻擊每擊中一名敵人，獲得#生命,
stats/desecrated/desecrated.stat_280731498/#% increased Area of Effect,#% increased Area of Effect,增加#%範圍效果,
stats/desecrated/desecrated.stat_2809428780/Small Passive Skills in Radius also grant #% increased Damage with Spears,Small Passive Skills in Radius also grant #% increased Damage with Spears,範圍內小型天賦也會賦予 增加#%長矛傷害,
stats/desecrated/desecrated.stat_2822644689/Notable Passive Skills in Radius also grant #% increased Attack Speed,Notable Passive Skills in Radius also grant #% increased Attack Speed,範圍內核心天賦也會賦予 增加#%攻擊速度,
stats/desecrated/desecrated.stat_2825946427/Projectiles deal #% increased Damage with Hits against Enemies further than 6m,Projectiles deal #% increased Damage with Hits against Enemies further than 6m,增加#%投射物對距離超過6公尺的敵人造成的擊中傷害,
stats/desecrated/desecrated.stat_2839066308/#% increased amount of Mana Leeched,#% increased amount of Mana Leeched,增加#%魔力偷取量,
stats/desecrated/desecrated.stat_2840930496/#% Surpassing Chance to gain a Puppet Master stack whenever you use a Command Skill,#% Surpassing Chance to gain a Puppet Master stack whenever you use a Command Skill,每當你使用號令技能時，有#%滿溢機率獲得一層傀儡大師,
stats/desecrated/desecrated.stat_2840989393/Small Passive Skills in Radius also grant #% chance to Poison on Hit,Small Passive Skills in Radius also grant #% chance to Poison on Hit,範圍內小型天賦也會賦予 擊中時有#%機率造成中毒,
stats/desecrated/desecrated.stat_2843214518/#% increased Attack Damage,#% increased Attack Damage,增加#%攻擊傷害,
stats/desecrated/desecrated.stat_2849546516/Notable Passive Skills in Radius also grant Meta Skills gain #% increased Energy,Notable Passive Skills in Radius also grant Meta Skills gain #% increased Energy,範圍內核心天賦也會賦予 增加#%主要技能獲得能量,
stats/desecrated/desecrated.stat_2854751904/Allies in your Presence deal # to # added Attack Lightning Damage,Allies in your Presence deal # to # added Attack Lightning Damage,處於你存在範圍中的友方造成#至#額外攻擊閃電傷害,
stats/desecrated/desecrated.stat_2866361420/#% increased Armour,#% increased Armour,增加#%護甲值,
stats/desecrated/desecrated.stat_287294012/# to # Fire Thorns damage per 100 maximum Life,# to # Fire Thorns damage per 100 maximum Life,每100點最大生命，附加#至#點火焰荊棘傷害,
stats/desecrated/desecrated.stat_2881298780/# to # Physical Thorns damage,# to # Physical Thorns damage,#至#點物理荊棘傷害,
stats/desecrated/desecrated.stat_288364275/Small Passive Skills in Radius also grant #% increased Projectile Damage if you've dealt a Melee Hit in the past eight seconds,Small Passive Skills in Radius also grant #% increased Projectile Damage if you've dealt a Melee Hit in the past eight seconds,範圍內小型天賦也會賦予 如果你在過去8秒內以近戰擊中，增加#%則投射物傷害,
stats/desecrated/desecrated.stat_2887760183/Monsters gain #% of maximum Life as Extra maximum Energy Shield,Monsters gain #% of maximum Life as Extra maximum Energy Shield,怪物獲得等同於最大生命#%的額外最大能量護盾,
stats/desecrated/desecrated.stat_2891184298/#% increased Cast Speed,#% increased Cast Speed,增加#%施放速度,
stats/desecrated/desecrated.stat_289128254/Allies in your Presence have #% increased Cast Speed,Allies in your Presence have #% increased Cast Speed,處於你存在範圍中的友方增加#%施放速度,
stats/desecrated/desecrated.stat_2896115339/#% of Elemental Damage taken Recouped as Energy Shield,#% of Elemental Damage taken Recouped as Energy Shield,承受元素傷害的#%補償為能量護盾,
stats/desecrated/desecrated.stat_2901986750/#% to all Elemental Resistances,#% to all Elemental Resistances,#%全元素抗性,
